"Electric power generation, monthly receipts, deliveries and availability 1 2",,,
Frequency: Monthly,,,
Table: 25-10-0016-01 (formerly CANSIM 127-0003),,,
Release date: 2024-11-28,,,
"Geography: Canada, Province or territory",,,
,,,
,,,
,,,
Geography,New Brunswick,Quebec,Ontario
"Electric power, components",Deliveries to the United States 3,Deliveries to the United States 3,Deliveries to the United States 3
Reference period,,,
,Megawatt hours,,
May-12,"63,630","2,134,067","1,091,509"
Jun-12,"56,555","1,975,832","1,080,485"
Jul-12,"50,156","2,362,593","1,260,303"
Aug-12,"54,333","2,270,428","1,154,218"
Sep-12,"59,069","1,967,278","842,357"
Oct-12,"66,405","1,778,587","1,097,029"
Nov-12,"64,036","1,975,274","1,371,374"
Dec-12,"88,014","2,189,667","1,177,502"
Jan-13,"102,243","2,180,714","1,411,160"
Feb-13,"108,510","2,084,307","1,186,872"
Mar-13,"72,882","2,407,338","1,250,615"
Apr-13,"74,606","2,057,441","1,369,351"
May-13,"138,381","2,014,325","1,417,006"
Jun-13,"213,195","2,297,346","1,435,901"
Jul-13,"256,122","2,444,897","1,553,134"
Aug-13,"223,343","2,589,548","1,519,242"
Sep-13,"243,956","2,078,419","1,254,878"
Oct-13,"113,622","2,002,411","1,345,409"
Nov-13,"83,532","2,429,588","1,146,449"
Dec-13,"155,928","2,319,303","1,467,071"
Jan-14,"248,303","2,136,225","1,557,213"
Feb-14,"244,520","1,999,593","908,576"
Mar-14,"130,786","2,201,962","1,619,514"
Apr-14,"148,415","1,853,723","972,452"
May-14,"119,670","1,607,295","1,488,672"
Jun-14,"105,374","1,715,282","1,288,065"
Jul-14,"240,320","1,959,034","1,462,463"
Aug-14,"202,655","2,247,634","1,450,978"
Sep-14,"148,684","2,055,889","1,510,762"
Oct-14,"237,902","1,368,430","1,481,013"
Nov-14,"95,459","2,120,267","1,564,713"
Dec-14,"146,548","2,322,114","1,778,501"
Jan-15,"109,931","2,284,650","1,823,435"
Feb-15,"169,633","1,984,434","1,934,642"
Mar-15,"85,321","2,433,219","2,191,896"
Apr-15,"107,064","1,661,652","1,726,906"
May-15,"187,097","1,343,552","1,818,892"
Jun-15,"100,261","1,881,353","1,684,052"
Jul-15,"119,832","2,112,466","1,681,851"
Aug-15,"85,502","2,168,598","1,435,396"
Sep-15,"137,512","2,373,697","1,019,530"
Oct-15,"144,832","1,410,677","1,422,893"
Nov-15,"119,675","1,792,308","1,799,807"
Dec-15,"123,023","2,086,260","1,602,328"
Jan-16,"160,406","2,335,702","2,225,603"
Feb-16,"161,695","2,126,541","1,815,652"
Mar-16,"106,692","2,212,833","1,792,652"
Apr-16,"187,679","1,354,414","1,323,987"
May-16,"97,649","1,360,872","1,435,836"
Jun-16,"91,618","2,287,747","1,498,223"
Jul-16,"236,804","2,546,863","1,625,069"
Aug-16,"223,124","2,559,182","1,634,689"
Sep-16,"144,921","2,083,533","1,650,905"
Oct-16,"128,252","1,835,384","1,841,135"
Nov-16,"111,999","2,401,774","1,601,255"
Dec-16,"105,799","2,435,420","2,042,556"
Jan-17,"102,566","2,640,509","1,746,334"
Feb-17,"84,077","2,375,947","1,338,882"
Mar-17,"116,894","2,596,298","1,606,971"
Apr-17,"68,894","2,338,421","1,469,451"
May-17,"160,161","2,013,528","1,365,999"
Jun-17,"88,395","2,286,313","1,338,557"
Jul-17,"112,394","2,489,786","1,351,250"
Aug-17,"96,239","2,699,888","1,463,415"
Sep-17,"89,617","2,417,896","1,039,039"
Oct-17,"100,224","1,600,331","1,245,069"
Nov-17,"114,222","2,078,294","1,513,090"
Dec-17,"99,094","2,112,389","1,482,985"
Jan-18,"169,405","2,160,753","2,062,793"
Feb-18,"91,207","2,425,424","1,245,420"
Mar-18,"83,386","2,531,735","1,527,710"
Apr-18,"79,776","2,021,525","1,161,450"
May-18,"83,152","2,130,986","1,865,959"
Jun-18,"92,622","2,471,418","1,437,712"
Jul-18,"97,264","2,718,956","1,371,170"
Aug-18,"100,525","2,393,196","1,283,181"
Sep-18,"92,119","2,095,408","1,185,694"
Oct-18,"95,677","1,583,928","1,340,769"
Nov-18,"122,351","2,222,241","1,384,824"
Dec-18,"122,118","2,251,513","1,496,782"
Jan-19,"36,859","2,335,393","1,566,247"
Feb-19,"109,472","2,176,408","1,296,535"
Mar-19,"108,294","2,393,660","1,284,519"
Apr-19,"97,392","1,890,732","1,226,891"
May-19,"123,696","1,730,490","1,358,263"
Jun-19,"101,714","2,103,011","1,355,205"
Jul-19,"111,598","2,662,004","1,636,121"
Aug-19,"87,579","2,675,089","1,597,969"
Sep-19,"124,757","2,351,295","1,408,184"
Oct-19,"122,516","1,393,974","1,191,670"
Nov-19,"169,498","2,106,860","1,571,416"
Dec-19,"167,790","2,126,331","1,491,091"
Jan-20,"148,895","2,044,736","1,704,467"
Feb-20,"128,143","2,094,390","1,608,588"
Mar-20,"138,778","2,117,866","1,277,313"
Apr-20,"117,953","1,852,957","1,635,362"
May-20,"169,566","1,921,657","2,076,038"
Jun-20,"117,013","2,093,474","1,545,497"
Jul-20,"116,867","2,392,422","1,554,195"
Aug-20,"131,324","2,363,238","1,244,995"
Sep-20,"122,728","1,493,846","1,090,621"
Oct-20,"151,089","1,920,930","1,129,571"
Nov-20,"148,362","1,671,217","1,325,017"
Dec-20,"172,918","2,404,375","1,434,305"
Jan-21,"125,014","2,353,004","1,520,120"
Feb-21,"127,595","1,986,195","1,322,353"
Mar-21,"157,917","2,114,028","1,063,651"
Apr-21,"158,719","1,934,667","1,143,847"
May-21,"154,279","1,862,818","1,305,779"
Jun-21,"157,694","2,242,532","1,410,773"
Jul-21,"167,996","2,463,582","1,404,877"
Aug-21,"160,288","2,460,099","1,205,735"
Sep-21,"230,369","1,632,137","1,136,368"
Oct-21,"183,924","2,009,068","1,381,008"
Nov-21,"274,839","1,344,153","1,290,600"
Dec-21,"257,586","1,881,275","1,442,531"
Jan-22,"235,469","2,020,197","1,723,776"
Feb-22,"218,553","1,683,594","1,236,780"
Mar-22,"217,912","1,819,183","1,057,019"
Apr-22,"199,152","1,765,120","1,094,780"
May-22,"138,824","1,736,278","1,245,762"
Jun-22,"152,278","2,009,472","1,400,775"
Jul-22,"159,704","2,415,310","1,719,387"
Aug-22,"168,534","2,578,773","1,661,662"
Sep-22,"169,783","1,793,067","1,237,401"
Oct-22,"186,908","1,596,994","988,911"
Nov-22,"237,142","1,308,758","840,841"
Dec-22,"220,259","1,881,178","1,472,930"
Jan-23,"518,312","1,729,230","1,665,656"
Feb-23,"495,109","1,573,739","1,389,842"
Mar-23,"499,939","1,840,377","1,167,352"
Apr-23,"421,360","1,526,482","1,329,827"
May-23,"433,255","960,298","1,557,961"
Jun-23,"436,488","850,587","1,356,492"
