YEAR,month,Date,PJM_tech,0,1,RGGI_share
2019,1,2019-01-31,Coal,0.9627242159747932,0.037275784025206725,0.03727578402520673
2019,1,2019-01-31,Gas,0.8475975892560811,0.1524024107439189,0.1524024107439189
2019,1,2019-01-31,Hydro,0.7649451607879976,0.23505483921200251,0.23505483921200251
2019,1,2019-01-31,Multiple Fuels,0.8394943319939395,0.1605056680060605,0.1605056680060605
2019,1,2019-01-31,Nuclear,0.8438547375119323,0.15614526248806773,0.15614526248806773
2019,1,2019-01-31,Oil,0.7275638367008501,0.2724361632991498,0.2724361632991498
2019,1,2019-01-31,Other,0.6434204500632467,0.3565795499367532,0.3565795499367533
2019,1,2019-01-31,Other Renewables,0.8206437106203422,0.17935628937965767,0.1793562893796577
2019,1,2019-01-31,Solar,0.6333969838832695,0.3666030161167305,0.3666030161167305
2019,1,2019-01-31,Wind,0.9809933302849255,0.019006669715074472,0.019006669715074472
2019,2,2019-02-28,Coal,0.9767395201772153,0.023260479822784664,0.023260479822784664
2019,2,2019-02-28,Gas,0.8377483283960806,0.16225167160391935,0.16225167160391935
2019,2,2019-02-28,Hydro,0.7412486655118103,0.25875133448818965,0.25875133448818965
2019,2,2019-02-28,Multiple Fuels,0.7855123379132657,0.21448766208673428,0.21448766208673428
2019,2,2019-02-28,Nuclear,0.8504388752225389,0.14956112477746109,0.14956112477746109
2019,2,2019-02-28,Oil,0.8860044374609661,0.11399556253903394,0.11399556253903394
2019,2,2019-02-28,Other,0.6785416263581878,0.3214583736418123,0.3214583736418123
2019,2,2019-02-28,Other Renewables,0.8440834503341612,0.1559165496658387,0.15591654966583873
2019,2,2019-02-28,Solar,0.6005067539619446,0.3994932460380554,0.3994932460380554
2019,2,2019-02-28,Wind,0.9801061016657046,0.019893898334295532,0.019893898334295532
2019,3,2019-03-31,Coal,0.96409405550418,0.035905944495819936,0.035905944495819936
2019,3,2019-03-31,Gas,0.8264328773055565,0.17356712269444358,0.17356712269444358
2019,3,2019-03-31,Hydro,0.7415625549187238,0.2584374450812763,0.2584374450812763
2019,3,2019-03-31,Multiple Fuels,0.762967047900745,0.2370329520992551,0.2370329520992551
2019,3,2019-03-31,Nuclear,0.846871053600061,0.15312894639993901,0.15312894639993901
2019,3,2019-03-31,Oil,0.8829866561588247,0.11701334384117534,0.11701334384117534
2019,3,2019-03-31,Other,0.6812699713132871,0.31873002868671285,0.31873002868671285
2019,3,2019-03-31,Other Renewables,0.8644329271065553,0.1355670728934448,0.1355670728934448
2019,3,2019-03-31,Solar,0.626666263730425,0.373333736269575,0.373333736269575
2019,3,2019-03-31,Wind,0.9800932451123697,0.019906754887630183,0.019906754887630187
2019,4,2019-04-30,Coal,0.9837193364849555,0.016280663515044598,0.016280663515044598
2019,4,2019-04-30,Gas,0.7911918947052082,0.2088081052947917,0.2088081052947917
2019,4,2019-04-30,Hydro,0.7378326181374105,0.26216738186258937,0.2621673818625894
2019,4,2019-04-30,Multiple Fuels,0.8477657956559049,0.152234204344095,0.15223420434409501
2019,4,2019-04-30,Nuclear,0.8502004543979289,0.14979954560207107,0.14979954560207107
2019,4,2019-04-30,Oil,0.9636265660139338,0.03637343398606621,0.03637343398606621
2019,4,2019-04-30,Other,0.6401227851789252,0.3598772148210749,0.3598772148210749
2019,4,2019-04-30,Other Renewables,0.8303907504486425,0.1696092495513575,0.1696092495513575
2019,4,2019-04-30,Solar,0.6353110769350978,0.36468892306490214,0.36468892306490214
2019,4,2019-04-30,Wind,0.979415522737652,0.020584477262348095,0.020584477262348095
2019,5,2019-05-31,Coal,0.9612527922028014,0.03874720779719855,0.038747207797198556
2019,5,2019-05-31,Gas,0.8158309609391479,0.18416903906085214,0.18416903906085214
2019,5,2019-05-31,Hydro,0.7405840400448492,0.2594159599551507,0.2594159599551507
2019,5,2019-05-31,Multiple Fuels,0.8649218515552966,0.13507814844470348,0.13507814844470348
2019,5,2019-05-31,Nuclear,0.8714339323401565,0.1285660676598434,0.1285660676598434
2019,5,2019-05-31,Oil,0.911044708860648,0.08895529113935191,0.08895529113935191
2019,5,2019-05-31,Other,0.6094446383586161,0.39055536164138394,0.39055536164138394
2019,5,2019-05-31,Other Renewables,0.8246712708575514,0.1753287291424485,0.17532872914244851
2019,5,2019-05-31,Solar,0.6443360641842771,0.3556639358157229,0.3556639358157229
2019,5,2019-05-31,Wind,0.974936355147113,0.02506364485288704,0.02506364485288704
2019,6,2019-06-30,Coal,0.9660537325439964,0.03394626745600365,0.03394626745600365
2019,6,2019-06-30,Gas,0.8264227159520031,0.17357728404799683,0.17357728404799683
2019,6,2019-06-30,Hydro,0.7658624730838939,0.23413752691610615,0.23413752691610615
2019,6,2019-06-30,Multiple Fuels,0.9495163018703385,0.05048369812966156,0.05048369812966156
2019,6,2019-06-30,Nuclear,0.8631900895710508,0.13680991042894924,0.13680991042894924
2019,6,2019-06-30,Oil,0.9087850300605793,0.09121496993942066,0.09121496993942066
2019,6,2019-06-30,Other,0.5890205498151354,0.41097945018486465,0.41097945018486465
2019,6,2019-06-30,Other Renewables,0.8288059878154806,0.17119401218451938,0.17119401218451938
2019,6,2019-06-30,Solar,0.6248254015139753,0.37517459848602486,0.37517459848602486
2019,6,2019-06-30,Wind,0.9764950329328209,0.0235049670671791,0.0235049670671791
2019,7,2019-07-31,Coal,0.9527607824637849,0.04723921753621498,0.04723921753621499
2019,7,2019-07-31,Gas,0.8073600802281518,0.19263991977184816,0.1926399197718482
2019,7,2019-07-31,Hydro,0.8336767663685655,0.16632323363143448,0.16632323363143448
2019,7,2019-07-31,Multiple Fuels,0.8410876654475161,0.1589123345524839,0.1589123345524839
2019,7,2019-07-31,Nuclear,0.8449614669319839,0.15503853306801613,0.15503853306801613
2019,7,2019-07-31,Oil,0.8394206055632627,0.16057939443673727,0.16057939443673727
2019,7,2019-07-31,Other,0.6095164915884898,0.3904835084115103,0.3904835084115103
2019,7,2019-07-31,Other Renewables,0.8409363793794489,0.15906362062055115,0.15906362062055115
2019,7,2019-07-31,Solar,0.6308736931437081,0.3691263068562919,0.3691263068562919
2019,7,2019-07-31,Wind,0.9653015327147508,0.03469846728524921,0.03469846728524921
2019,8,2019-08-31,Coal,0.9458979554148129,0.05410204458518706,0.05410204458518706
2019,8,2019-08-31,Gas,0.8180677160145914,0.1819322839854087,0.1819322839854087
2019,8,2019-08-31,Hydro,0.8905048030891042,0.1094951969108958,0.1094951969108958
2019,8,2019-08-31,Multiple Fuels,0.8616702870882821,0.13832971291171797,0.13832971291171797
2019,8,2019-08-31,Nuclear,0.8531422648564424,0.1468577351435576,0.1468577351435576
2019,8,2019-08-31,Oil,0.9152465889022802,0.08475341109771985,0.08475341109771985
2019,8,2019-08-31,Other,0.5993375637836871,0.4006624362163129,0.4006624362163129
2019,8,2019-08-31,Other Renewables,0.8311729132941387,0.16882708670586133,0.16882708670586133
2019,8,2019-08-31,Solar,0.6299604495158998,0.3700395504841003,0.3700395504841003
2019,8,2019-08-31,Wind,0.9649843647584764,0.03501563524152359,0.03501563524152359
2019,9,2019-09-30,Coal,0.9520503129597222,0.04794968704027781,0.04794968704027781
2019,9,2019-09-30,Gas,0.8363973930979789,0.1636026069020211,0.1636026069020211
2019,9,2019-09-30,Hydro,0.9233007255729049,0.076699274427095,0.07669927442709501
2019,9,2019-09-30,Multiple Fuels,0.6828035631801432,0.3171964368198567,0.3171964368198567
2019,9,2019-09-30,Nuclear,0.842302083187483,0.157697916812517,0.157697916812517
2019,9,2019-09-30,Oil,0.8841512660207633,0.11584873397923674,0.11584873397923674
2019,9,2019-09-30,Other,0.6030878350201262,0.39691216497987375,0.39691216497987375
