period,ISNE,NYIS,PJM
2019-01-01,52615,43911,
2019-01-02,46148,53503,
2019-01-03,37203,58618,
2019-01-04,46862,57672,
2019-01-05,52435,62824,
2019-01-06,52376,52781,
2019-01-07,58333,63044,
2019-01-08,48091,55955,
2019-01-09,54079,55674,
2019-01-10,51895,54014,
2019-01-11,49938,51966,
2019-01-12,45895,55937,
2019-01-13,43106,52283,
2019-01-14,41069,42661,
2019-01-15,41356,54916,
2019-01-16,42059,53764,
2019-01-17,45423,39696,
2019-01-18,39355,45933,
2019-01-19,43991,28911,
2019-01-20,41872,41832,
2019-01-21,47746,34434,
2019-01-22,45551,39068,
2019-01-23,41377,50273,
2019-01-24,55343,58101,
2019-01-25,55982,57683,
2019-01-26,48799,57216,
2019-01-27,49550,58712,
2019-01-28,61232,49654,
2019-01-29,47650,55198,
2019-01-30,53091,60197,
2019-01-31,54904,45107,
2019-02-01,52613,55691,
2019-02-02,52949,63862,
2019-02-03,53320,64065,
2019-02-04,48614,63888,
2019-02-05,51600,50720,
2019-02-06,51642,38627,
2019-02-07,50910,44160,
2019-02-08,47494,43474,
2019-02-09,51029,51407,
2019-02-10,48355,50477,
2019-02-11,49163,64209,
2019-02-12,37885,46846,
2019-02-13,44391,59619,
2019-02-14,43262,58034,
2019-02-15,39531,56498,
2019-02-16,48350,46626,
2019-02-17,54282,52580,
2019-02-18,44441,57251,
2019-02-19,47979,54155,
2019-02-20,38726,59342,
2019-02-21,36231,44567,
2019-02-22,42477,50431,
2019-02-23,42986,56620,
2019-02-24,39076,42784,
2019-02-25,47682,51574,
2019-02-26,42548,54061,
2019-02-27,41286,49649,
2019-02-28,39299,53834,
2019-03-01,41669,53046,
2019-03-02,42496,46949,
2019-03-03,43752,47697,
2019-03-04,41506,51736,
2019-03-05,41988,55353,
2019-03-06,38263,50812,
2019-03-07,40216,55775,
2019-03-08,41433,57954,
2019-03-09,46865,52923,
2019-03-10,40599,44607,
2019-03-11,47421,46147,
2019-03-12,45840,48673,
2019-03-13,46921,47452,
2019-03-14,45185,45859,
2019-03-15,48198,43532,
2019-03-16,50470,44450,
2019-03-17,50324,53620,
2019-03-18,46813,59629,
2019-03-19,41726,57499,
2019-03-20,43249,62974,
2019-03-21,50889,59275,
2019-03-22,51394,63288,
2019-03-23,53038,49247,
2019-03-24,53059,53456,
2019-03-25,45668,50314,
2019-03-26,44993,51996,
2019-03-27,43890,55973,
2019-03-28,46982,59346,
2019-03-29,47976,55269,
2019-03-30,48815,44670,
2019-03-31,48361,48328,
2019-04-01,48384,57644,
2019-04-02,50119,57560,
2019-04-03,46915,45791,
2019-04-04,48462,39045,
2019-04-05,49743,45113,
2019-04-06,44921,43333,
2019-04-07,45138,49737,
2019-04-08,35799,41715,
2019-04-09,32927,40648,
2019-04-10,37726,45945,
2019-04-11,40607,53122,
2019-04-12,43863,54862,
2019-04-13,47186,30942,
2019-04-14,43450,41649,
2019-04-15,42308,44387,
2019-04-16,40409,39616,
2019-04-17,43386,56349,
2019-04-18,40377,47136,
2019-04-19,43084,58022,
2019-04-20,40453,41505,
2019-04-21,42987,47374,
2019-04-22,38140,52297,
2019-04-23,36908,56074,
2019-04-24,33452,39058,
2019-04-25,35900,41020,
2019-04-26,35825,38019,
2019-04-27,44726,34292,
2019-04-28,43058,42231,
2019-04-29,45688,52621,
2019-04-30,43067,45958,
2019-05-01,42491,51346,
2019-05-02,38570,38451,
2019-05-03,41257,37158,
2019-05-04,41905,36218,
2019-05-05,41731,49296,
2019-05-06,40702,42540,
2019-05-07,41614,37023,
2019-05-08,43243,44986,
2019-05-09,41403,41120,
2019-05-10,39425,38770,
2019-05-11,39335,22332,
2019-05-12,42646,43458,
2019-05-13,38673,40433,
2019-05-14,41721,48632,
2019-05-15,44592,47666,
2019-05-16,47199,46487,
2019-05-17,44359,41925,
2019-05-18,50224,33965,
2019-05-19,45747,50913,
2019-05-20,44991,46969,
2019-05-21,41777,35994,
2019-05-22,49473,45294,
2019-05-23,47675,52057,
2019-05-24,49230,43133,
2019-05-25,43669,37309,
2019-05-26,43365,44769,
2019-05-27,40456,44216,
2019-05-28,40720,49999,
2019-05-29,44507,50025,
2019-05-30,31694,42221,
2019-05-31,43135,47868,
2019-06-01,37711,53260,
2019-06-02,41414,50851,
2019-06-03,36499,38576,
2019-06-04,34310,43218,
2019-06-05,36310,41543,
2019-06-06,38453,51080,
2019-06-07,39256,46755,
2019-06-08,40119,45387,
2019-06-09,40468,59017,
2019-06-10,38597,62322,
2019-06-11,38532,56375,
2019-06-12,43642,58025,
2019-06-13,39231,56448,
2019-06-14,42239,55724,
2019-06-15,41211,53000,
2019-06-16,48302,57063,
2019-06-17,48690,64938,
2019-06-18,50633,57917,
2019-06-19,50207,52363,
2019-06-20,49881,56578,
2019-06-21,50029,59788,
2019-06-22,56615,57043,
2019-06-23,55531,54931,
2019-06-24,50501,54735,
2019-06-25,44162,52701,
2019-06-26,52453,53225,
2019-06-27,58555,49690,
2019-06-28,56868,51052,
2019-06-29,53416,53326,
2019-06-30,49242,58469,
2019-07-01,55947,56716,
2019-07-02,46046,55118,
2019-07-03,54826,57856,
2019-07-04,49503,60664,
2019-07-05,52109,60950,
2019-07-06,51918,64547,
2019-07-07,54232,65291,
2019-07-08,47486,60369,
2019-07-09,52319,55992,
2019-07-10,44984,54780,
2019-07-11,53298,50096,
2019-07-12,54809,52841,
2019-07-13,46045,69620,
2019-07-14,42130,70833,
2019-07-15,52139,66757,
2019-07-16,53461,65556,
2019-07-17,54840,51100,
2019-07-18,64493,61603,
2019-07-19,63731,56809,
2019-07-20,57937,54602,
2019-07-21,59341,53371,
2019-07-22,56611,57174,
2019-07-23,62516,60732,
2019-07-24,63154,59625,
2019-07-25,60945,57565,
2019-07-26,54849,49961,
2019-07-27,66764,36840,
2019-07-28,54296,61869,
2019-07-29,53852,63867,
2019-07-30,56986,63273,
2019-07-31,61204,59712,
2019-08-01,64972,56177,
2019-08-02,65544,56731,
2019-08-03,62835,24824,
2019-08-04,63147,53061,
2019-08-05,65020,55534,
2019-08-06,58920,53454,
2019-08-07,63024,50578,
2019-08-08,65047,53938,
2019-08-09,59742,55219,
2019-08-10,49843,54939,
2019-08-11,56560,54260,
2019-08-12,60186,49839,
2019-08-13,57003,53719,
2019-08-14,47966,55882,
2019-08-15,49846,55833,
2019-08-16,49603,53232,
2019-08-17,45508,54196,
2019-08-18,44647,54827,
2019-08-19,42829,48368,
2019-08-20,55282,51244,
2019-08-21,56130,49578,
2019-08-22,54294,55716,
2019-08-23,52764,54494,
2019-08-24,59699,52391,
2019-08-25,55048,53667,
2019-08-26,52769,56208,
2019-08-27,54886,53554,
2019-08-28,56919,53573,
2019-08-29,54280,53506,
2019-08-30,56104,53327,
2019-08-31,52191,55435,
2019-09-01,48495,49189,
2019-09-02,50838,49145,
2019-09-03,48356,35015,
2019-09-04,51836,42188,
2019-09-05,60030,45669,
2019-09-06,55368,46206,
2019-09-07,58528,49763,
2019-09-08,59636,53906,
2019-09-09,51074,53808,
2019-09-10,53610,52576,
2019-09-11,53152,44820,
2019-09-12,48760,47666,
2019-09-13,49266,40694,
2019-09-14,52858,41891,
2019-09-15,43368,48746,
2019-09-16,30626,43252,
2019-09-17,43429,42341,
2019-09-18,53223,47870,
2019-09-19,50981,44655,
2019-09-20,51307,48158,
2019-09-21,60904,45928,
2019-09-22,59437,50933,
2019-09-23,55502,52646,
2019-09-24,56875,51104,
2019-09-25,54703,54065,
2019-09-26,45029,51392,
2019-09-27,52067,52952,
2019-09-28,45026,49513,
2019-09-29,55107,51489,
2019-09-30,23055,48166,
2019-10-01,14535,42627,
2019-10-02,19336,47540,
2019-10-03,18380,43145,
2019-10-04,15379,44687,
2019-10-05,17149,42135,
2019-10-06,13689,37378,
2019-10-07,17653,36337,
2019-10-08,16205,33968,
2019-10-09,12450,37693,
2019-10-10,11249,37295,
2019-10-11,11401,41120,
2019-10-12,12978,16323,
2019-10-13,16357,15284,
2019-10-14,30458,14293,
2019-10-15,38878,12754,
2019-10-16,34272,14480,
2019-10-17,41203,12314,
2019-10-18,39505,14172,
2019-10-19,47419,17111,
2019-10-20,41203,17331,
2019-10-21,46459,14446,
2019-10-22,47007,14386,
2019-10-23,51980,29339,
2019-10-24,49605,36542,
2019-10-25,58399,37214,
2019-10-26,53073,39646,
2019-10-27,44557,33667,
2019-10-28,43824,35214,
2019-10-29,46291,33288,
2019-10-30,50807,38224,
2019-10-31,49215,37779,
2019-11-01,52016,31657,
2019-11-02,50394,41281,
