Week,None,D0,D1,D2,D3,D4,DSCI
2024-11-26,3.20,35.64,33.12,23.94,4.11,0.00,190
2024-11-19,3.15,35.46,31.00,24.54,5.86,0.00,195
2024-11-12,4.25,37.57,31.53,21.35,4.94,0.37,186
2024-11-05,6.35,37.09,36.69,13.23,5.96,0.67,177
2024-10-29,21.01,40.71,23.05,10.42,4.14,0.67,138
2024-10-22,36.05,34.69,17.58,6.87,4.14,0.67,110
2024-10-15,39.19,37.50,13.59,4.90,4.14,0.67,99
2024-10-08,41.17,37.40,12.32,4.30,4.14,0.67,95
2024-10-01,45.94,34.77,9.37,4.97,4.27,0.67,89
2024-09-24,40.98,39.15,6.94,3.57,7.37,1.98,103
2024-09-17,67.38,15.93,3.77,4.91,6.20,1.81,72
2024-09-10,75.72,8.29,3.31,5.39,6.41,0.89,61
2024-09-03,76.80,7.40,3.47,6.41,5.23,0.69,58
2024-08-27,77.85,6.85,3.09,7.28,4.25,0.69,55
2024-08-20,79.25,5.45,4.90,7.64,2.77,0.00,49
2024-08-13,77.80,6.90,6.06,8.45,0.78,0.00,47
2024-08-06,62.42,17.26,11.14,6.48,2.70,0.00,70
2024-07-30,60.02,19.18,12.02,6.07,2.70,0.00,72
2024-07-23,61.71,19.55,10.44,6.26,2.03,0.00,67
2024-07-16,61.64,18.98,10.31,7.33,1.73,0.00,69
2024-07-09,60.76,25.53,10.81,2.90,0.00,0.00,56
2024-07-02,62.28,25.49,10.85,1.38,0.00,0.00,51
2024-06-25,56.71,30.97,12.31,0.00,0.00,0.00,56
2024-06-18,69.45,29.68,0.87,0.00,0.00,0.00,31
2024-06-11,90.59,9.41,0.00,0.00,0.00,0.00,9
2024-06-04,90.41,9.31,0.28,0.00,0.00,0.00,10
2024-05-28,95.80,4.20,0.00,0.00,0.00,0.00,4
2024-05-21,96.27,3.73,0.00,0.00,0.00,0.00,4
2024-05-14,94.87,5.13,0.00,0.00,0.00,0.00,5
2024-05-07,97.48,2.52,0.00,0.00,0.00,0.00,3
2024-04-30,98.14,1.86,0.00,0.00,0.00,0.00,2
2024-04-23,98.11,1.89,0.00,0.00,0.00,0.00,2
2024-04-16,98.11,1.89,0.00,0.00,0.00,0.00,2
2024-04-09,97.42,2.09,0.49,0.00,0.00,0.00,3
2024-04-02,96.97,2.55,0.49,0.00,0.00,0.00,4
2024-03-26,97.54,1.98,0.49,0.00,0.00,0.00,3
2024-03-19,97.54,1.98,0.49,0.00,0.00,0.00,3
2024-03-12,97.41,2.10,0.49,0.00,0.00,0.00,3
2024-03-05,96.96,2.63,0.42,0.00,0.00,0.00,3
2024-02-27,97.07,2.72,0.21,0.00,0.00,0.00,3
2024-02-20,97.07,2.72,0.21,0.00,0.00,0.00,3
2024-02-13,97.00,2.75,0.23,0.02,0.00,0.00,3
2024-02-06,96.89,2.85,0.23,0.02,0.00,0.00,3
2024-01-30,96.89,2.85,0.19,0.07,0.00,0.00,3
2024-01-23,94.62,3.95,1.37,0.07,0.00,0.00,7
2024-01-16,94.58,3.99,1.37,0.07,0.00,0.00,7
2024-01-09,88.37,9.77,1.28,0.59,0.00,0.00,14
2024-01-02,87.20,10.30,1.83,0.67,0.00,0.00,16
2023-12-26,85.18,11.44,2.71,0.68,0.00,0.00,19
2023-12-19,83.93,12.68,2.71,0.68,0.00,0.00,20
2023-12-12,77.44,17.58,4.65,0.34,0.00,0.00,28
